Postalcode,Neighborhood,City,Population,Latitude,Longitude
43002,Nou Eixample Nord,Tarragona,26080,41.1227814,1.2479709
43006,Torreforta,Tarragona,17010,41.1188235,1.2169539
43007,Sant Pere i Sant Pau,Tarragona,16694,41.1382712,1.2524378
43005,Nou Eixample Sud,Tarragona,15884,41.116315,1.2459971
43007,Urbanitzacions de Llevant,Tarragona,13152,41.1180994,1.2727256
43006,Campclar,Tarragona,11705,41.1207885,1.2111104
43001,Eixample Tarragona,Tarragona,11333,41.1151502,1.2510463
43004,Barris Marítims,Tarragona,11228,41.1097904,1.2402771
43100,Bonavista,Tarragona,9457,41.1195973,1.1920795
43130,Sant Salvador,Tarragona,7564,41.157635,1.2409503
43003,Part Alta,Tarragona,4207,41.1175192,1.25695
43201,Districte 1,Reus,4326,41.1550589,1.1086436
43202,Districte 2,Reus,20360,41.1515997,1.1036228
43205,Districte 3,Reus,18686,41.1451099,1.1075406
43201,Districte 4,Reus,10624,41.1529623,1.1121509
43204,Districte 5,Reus,11480,41.1570852,1.115399
43203,Districte 6,Reus,19568,41.1621051,1.1009828
43204,Districte 7,Reus,7752,41.1433831,1.1297212
43205,Districte 8,Reus,11050,41.1486124,1.0931739
43206,Districte 9,Reus,2563,41.1664064,1.0868026
43206,Districte 10,Reus,2278,41.1534879,1.1233528
43700,El Vendrell,El Vendrell,35821,41.2172997,1.530048
43850,Cambrils,Cambrils,31720,41.066421,1.0592146
43840,Salou,Salou,26649,41.0775692,1.131255
43800,Valls,Valls,25092,41.2840967,1.2491888
43820,Calafell,Calafell,24265,41.1932327,1.5645777
43480,Vila-seca,Vila-seca,20866,41.1080161,1.1474114
